DATE,IPG22111NQ
1972-01-01,33.5098
1972-04-01,32.5893
1972-07-01,38.1215
1972-10-01,36.0790
1973-01-01,37.4328
1973-04-01,36.7699
1973-07-01,43.2311
1973-10-01,38.6053
1974-01-01,37.6653
1974-04-01,36.9154
1974-07-01,43.7260
1974-10-01,40.7337
1975-01-01,41.9406
1975-04-01,40.4621
1975-07-01,46.0831
1975-10-01,42.6327
1976-01-01,44.7946
1976-04-01,43.0569
1976-07-01,49.1040
1976-10-01,47.8792
1977-01-01,50.8924
1977-04-01,48.3116
1977-07-01,54.4020
1977-10-01,48.3324
1978-01-01,51.5185
1978-04-01,47.9482
1978-07-01,55.7840
1978-10-01,51.4020
1979-01-01,55.5478
1979-04-01,48.4357
1979-07-01,55.1952
1979-10-01,50.6889
1980-01-01,53.5491
1980-04-01,48.5706
1980-07-01,58.4902
1980-10-01,52.3168
1981-01-01,54.9356
1981-04-01,51.7329
1981-07-01,58.7618
1981-10-01,52.3749
1982-01-01,54.4027
1982-04-01,50.3287
1982-07-01,56.4679
1982-10-01,50.1496
1983-01-01,52.0720
1983-04-01,49.6830
1983-07-01,60.6653
1983-10-01,54.6571
1984-01-01,58.2249
1984-04-01,54.8982
1984-07-01,61.8148
1984-10-01,55.8218
1985-01-01,62.2710
1985-04-01,57.4171
1985-07-01,65.2391
1985-10-01,59.7900
1986-01-01,61.5432
1986-04-01,59.1613
1986-07-01,67.6962
1986-10-01,61.9377
1987-01-01,64.7546
1987-04-01,62.9906
1987-07-01,71.5391
1987-10-01,64.4338
1988-01-01,70.7680
1988-04-01,67.4868
1988-07-01,77.5117
1988-10-01,67.8543
1989-01-01,71.5016
1989-04-01,68.2297
1989-07-01,79.0487
1989-10-01,73.6507
1990-01-01,75.8205
1990-04-01,72.0088
1990-07-01,82.5019
1990-10-01,72.3997
1991-01-01,76.1404
1991-04-01,75.2503
1991-07-01,84.5986
1991-10-01,74.0695
1992-01-01,76.9488
1992-04-01,73.2831
1992-07-01,82.6617
1992-10-01,76.4118
1993-01-01,79.6711
1993-04-01,75.9082
1993-07-01,86.2129
1993-10-01,75.7186
1994-01-01,81.0051
1994-04-01,77.7947
1994-07-01,87.1672
1994-10-01,78.7087
1995-01-01,82.6755
1995-04-01,80.5477
1995-07-01,92.9020
1995-10-01,82.0486
1996-01-01,87.1713
1996-04-01,84.3529
1996-07-01,91.3428
1996-10-01,81.8584
1997-01-01,84.7586
1997-04-01,80.1046
1997-07-01,93.2123
1997-10-01,82.9317
1998-01-01,85.9988
1998-04-01,86.1330
1998-07-01,98.5390
1998-10-01,87.0388
1999-01-01,91.2768
1999-04-01,88.9893
1999-07-01,102.1041
1999-10-01,89.2025
2000-01-01,92.8126
2000-04-01,92.9685
2000-07-01,102.5904
2000-10-01,92.6980
2001-01-01,94.5062
2001-04-01,92.0777
2001-07-01,101.9323
2001-10-01,89.0121
2002-01-01,94.2515
2002-04-01,95.0249
2002-07-01,107.0967
2002-10-01,93.2090
2003-01-01,96.6111
2003-04-01,93.0253
2003-07-01,106.1731
2003-10-01,93.6241
2004-01-01,98.3986
2004-04-01,97.1063
2004-07-01,107.2634
2004-10-01,95.2571
2005-01-01,98.0851
2005-04-01,97.1215
2005-07-01,113.6357
2005-10-01,97.2792
2006-01-01,98.1947
2006-04-01,99.2695
2006-07-01,113.4487
2006-10-01,96.2507
2007-01-01,102.7983
2007-04-01,100.3230
2007-07-01,114.7136
2007-10-01,98.7303
2008-01-01,102.1542
2008-04-01,101.3502
2008-07-01,111.8232
2008-10-01,97.4302
2009-01-01,99.8278
2009-04-01,96.4255
2009-07-01,107.9494
2009-10-01,94.9933
2010-01-01,101.8698
2010-04-01,99.5571
2010-07-01,114.3525
2010-10-01,97.4309
2011-01-01,102.0204
2011-04-01,98.1508
2011-07-01,114.1886
2011-10-01,95.1938
2012-01-01,96.7986
2012-04-01,98.4294
2012-07-01,111.4262
2012-10-01,93.3458
2013-01-01,99.2199
2013-04-01,96.9513
2013-07-01,109.7518
2013-10-01,96.9792
2014-01-01,103.6006
2014-04-01,97.1914
2014-07-01,108.9569
2014-10-01,95.7364
2015-01-01,103.1324
2015-04-01,97.1945
2015-07-01,111.5489
2015-10-01,91.2441
2016-01-01,96.3756
2016-04-01,96.6559
2016-07-01,114.0689
2016-10-01,93.1962
2017-01-01,95.0856
2017-04-01,94.9892
2017-07-01,109.8071
2017-10-01,95.6598
2018-01-01,99.2075
2018-04-01,98.5946
2018-07-01,114.1917
2018-10-01,95.2296
2019-01-01,98.4670
2019-04-01,94.5863
2019-07-01,113.0925
